exp_name,model,dataset,lr,lr_backbone,layers,tf_layers,d_model,seed,amp_dtype,best_ppl,nan_recoveries,time_min,n_params_M,results_path
ts_ng_lr2e3_s0,pcn,tinystories,0.002,,12,,256,0,,inf,,3.2,21.0,results/ts_ng_lr2e3_s0/results.json
ts_sdpa_tf_lr1e3_s0,transformer,tinystories,0.001,,12,,256,0,,15.14,,5.4,22.4,results/ts_sdpa_tf_lr1e3_s0/results.json
ts_sdpa_tf_lr1e4_s0,transformer,tinystories,0.0001,,12,,256,0,,222.21,,5.4,22.4,results/ts_sdpa_tf_lr1e4_s0/results.json
ts_sdpa_tf_s0,transformer,tinystories,0.0003,,12,,256,0,,44.28,,5.4,22.4,results/ts_sdpa_tf_s0/results.json
ts_tf_lr1e3_s1,transformer,tinystories,0.001,,12,,256,1,,15.08,,6.0,22.4,results/ts_tf_lr1e3_s1/results.json
ts_tf_lr1e3_s2,transformer,tinystories,0.001,,12,,256,2,,14.62,,6.0,22.4,results/ts_tf_lr1e3_s2/results.json
ts_tf_lr1e3_s3,transformer,tinystories,0.001,,12,,256,3,,14.52,,5.4,22.4,results/ts_tf_lr1e3_s3/results.json
ts_tf_lr1e3_s4,transformer,tinystories,0.001,,12,,256,4,,16.52,,5.4,22.4,results/ts_tf_lr1e3_s4/results.json
ts_tf_lr2e3_s0,transformer,tinystories,0.002,,12,,256,0,,22.9,,5.7,22.4,results/ts_tf_lr2e3_s0/results.json
w384_ng_s0,pcn,wikitext,0.0005,,12,,384,0,,143.84,,6.6,37.4,results/w384_ng_s0/results.json
w384_ng_s1,pcn,wikitext,0.0005,,12,,384,1,,190.59,,6.6,37.4,results/w384_ng_s1/results.json
w384_ng_s2,pcn,wikitext,0.0005,,12,,384,2,,124.34,,6.6,37.4,results/w384_ng_s2/results.json
w384_ng_s3,pcn,wikitext,0.0005,,12,,384,3,,123.45,,7.0,37.4,results/w384_ng_s3/results.json
w384_ng_s4,pcn,wikitext,0.0005,,12,,384,4,,145.31,,7.0,37.4,results/w384_ng_s4/results.json
w384_tf_s0,transformer,wikitext,0.001,,12,,384,0,,350.9,,6.3,40.7,results/w384_tf_s0/results.json
w384_tf_s1,transformer,wikitext,0.001,,12,,384,1,,282.35,,6.2,40.7,results/w384_tf_s1/results.json
w384_tf_s2,transformer,wikitext,0.001,,12,,384,2,,536.98,,6.2,40.7,results/w384_tf_s2/results.json
w384_tf_s3,transformer,wikitext,0.001,,12,,384,3,,342.57,,6.9,40.7,results/w384_tf_s3/results.json
w384_tf_s4,transformer,wikitext,0.001,,12,,384,4,,271.52,,6.6,40.7,results/w384_tf_s4/results.json
w512_ng_s0,pcn,wikitext,0.0005,,12,,512,0,,343.16,,8.6,57.8,results/w512_ng_s0/results.json
w512_ng_s1,pcn,wikitext,0.0005,,12,,512,1,,339.78,,8.5,57.8,results/w512_ng_s1/results.json
w512_ng_s2,pcn,wikitext,0.0005,,12,,512,2,,273.37,,8.0,57.8,results/w512_ng_s2/results.json
w512_ng_s3,pcn,wikitext,0.0005,,12,,512,3,,329.31,,8.0,57.8,results/w512_ng_s3/results.json
w512_ng_s4,pcn,wikitext,0.0005,,12,,512,4,,320.84,,8.0,57.8,results/w512_ng_s4/results.json
w512_tf_s0,transformer,wikitext,0.001,,12,,512,0,,594.11,,8.4,63.7,results/w512_tf_s0/results.json
w512_tf_s1,transformer,wikitext,0.001,,12,,512,1,,501.25,,8.3,63.7,results/w512_tf_s1/results.json
w512_tf_s2,transformer,wikitext,0.001,,12,,512,2,,502.29,,7.8,63.7,results/w512_tf_s2/results.json
w512_tf_s3,transformer,wikitext,0.001,,12,,512,3,,754.11,,7.8,63.7,results/w512_tf_s3/results.json
w512_tf_s4,transformer,wikitext,0.001,,12,,512,4,,768.02,,7.8,63.7,results/w512_tf_s4/results.json
warm100_ng_s0,pcn,tinystories,0.0005,,12,,256,0,,14.85,,6.6,21.0,results/warm100_ng_s0/results.json
warm100_tf_s0,transformer,tinystories,0.001,,12,,256,0,,14.98,,5.9,22.4,results/warm100_tf_s0/results.json
warm1500_ng_s0,pcn,tinystories,0.0005,,12,,256,0,,14.01,,6.6,21.0,results/warm1500_ng_s0/results.json
