timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/07 10:20:45.226, 230.75 W, 99 %, 10419 MiB
2026/09/07 10:20:55.229, 229.47 W, 97 %, 10423 MiB
2026/09/07 10:21:05.241, 230.12 W, 98 %, 10419 MiB
2026/09/07 10:21:15.255, 229.80 W, 98 %, 10424 MiB
2026/09/07 10:21:25.257, 230.29 W, 98 %, 10428 MiB
2026/09/07 10:21:35.266, 230.49 W, 98 %, 10419 MiB
2026/09/07 10:21:45.271, 230.95 W, 98 %, 10419 MiB
2026/09/07 10:21:55.282, 262.69 W, 99 %, 10431 MiB
2026/09/07 10:22:05.283, 31.36 W, 14 %, 859 MiB
2026/09/07 10:22:15.293, 29.37 W, 28 %, 858 MiB
2026/09/07 10:22:25.301, 61.60 W, 6 %, 1136 MiB
2026/09/07 10:22:35.316, 223.04 W, 99 %, 10390 MiB
2026/09/07 10:22:45.328, 225.59 W, 99 %, 10390 MiB
2026/09/07 10:22:55.335, 225.15 W, 98 %, 10391 MiB
2026/09/07 10:23:05.349, 225.80 W, 98 %, 10391 MiB
2026/09/07 10:23:15.363, 226.34 W, 98 %, 10390 MiB
2026/09/07 10:23:25.377, 223.08 W, 98 %, 10407 MiB
2026/09/07 10:23:35.385, 227.83 W, 99 %, 10392 MiB
2026/09/07 10:23:45.396, 228.06 W, 99 %, 10391 MiB
2026/09/07 10:23:55.409, 227.55 W, 98 %, 10391 MiB
2026/09/07 10:24:05.416, 229.47 W, 98 %, 10390 MiB
2026/09/07 10:24:15.432, 228.90 W, 99 %, 10390 MiB
2026/09/07 10:24:25.444, 228.77 W, 98 %, 10390 MiB
2026/09/07 10:24:35.459, 228.80 W, 98 %, 10390 MiB
2026/09/07 10:24:45.471, 229.09 W, 99 %, 10390 MiB
2026/09/07 10:24:55.481, 228.93 W, 98 %, 10390 MiB
2026/09/07 10:25:05.486, 229.66 W, 98 %, 10390 MiB
2026/09/07 10:25:15.491, 229.37 W, 98 %, 10391 MiB
2026/09/07 10:25:25.501, 229.54 W, 99 %, 10390 MiB
2026/09/07 10:25:35.510, 58.08 W, 11 %, 10390 MiB
2026/09/07 10:25:45.517, 262.16 W, 99 %, 10391 MiB
2026/09/07 10:25:55.522, 229.00 W, 98 %, 10391 MiB
2026/09/07 10:26:05.526, 228.61 W, 97 %, 10413 MiB
2026/09/07 10:26:15.534, 229.66 W, 99 %, 10390 MiB
2026/09/07 10:26:25.537, 228.90 W, 98 %, 10390 MiB
2026/09/07 10:26:35.553, 229.36 W, 98 %, 10390 MiB
2026/09/07 10:26:45.566, 229.19 W, 99 %, 10386 MiB
2026/09/07 10:26:55.571, 36.83 W, 16 %, 10404 MiB
2026/09/07 10:27:05.586, 227.19 W, 99 %, 10400 MiB
2026/09/07 10:27:15.594, 227.58 W, 99 %, 10404 MiB
2026/09/07 10:27:25.605, 227.48 W, 98 %, 10418 MiB
2026/09/07 10:27:35.618, 227.99 W, 98 %, 10418 MiB
2026/09/07 10:27:45.627, 229.01 W, 98 %, 10408 MiB
2026/09/07 10:27:55.642, 229.01 W, 99 %, 10412 MiB
2026/09/07 10:28:05.647, 229.32 W, 99 %, 10417 MiB
2026/09/07 10:28:15.656, 228.71 W, 99 %, 10412 MiB
2026/09/07 10:28:25.662, 229.97 W, 98 %, 10408 MiB
2026/09/07 10:28:35.668, 228.62 W, 99 %, 10414 MiB
2026/09/07 10:28:45.684, 229.68 W, 98 %, 10404 MiB
2026/09/07 10:28:55.689, 229.61 W, 99 %, 10404 MiB
2026/09/07 10:29:05.704, 31.69 W, 100 %, 10400 MiB
2026/09/07 10:29:15.705, 163.98 W, 98 %, 10412 MiB
2026/09/07 10:29:25.711, 229.63 W, 99 %, 10408 MiB
2026/09/07 10:29:35.719, 230.45 W, 98 %, 10407 MiB
2026/09/07 10:29:45.733, 229.71 W, 99 %, 10407 MiB
2026/09/07 10:29:55.738, 229.36 W, 98 %, 10404 MiB
2026/09/07 10:30:05.753, 229.64 W, 99 %, 10400 MiB
2026/09/07 10:30:15.766, 229.52 W, 99 %, 10405 MiB
2026/09/07 10:30:25.771, 229.67 W, 99 %, 10400 MiB
2026/09/07 10:30:35.773, 228.90 W, 98 %, 10404 MiB
2026/09/07 10:30:45.785, 229.93 W, 99 %, 10404 MiB
2026/09/07 10:30:55.799, 229.46 W, 99 %, 10404 MiB
2026/09/07 10:31:05.809, 229.76 W, 99 %, 10401 MiB
2026/09/07 10:31:15.814, 229.56 W, 98 %, 10404 MiB
2026/09/07 10:31:25.826, 34.67 W, 23 %, 10409 MiB
2026/09/07 10:31:35.842, 227.75 W, 97 %, 10404 MiB
2026/09/07 10:31:45.853, 229.33 W, 99 %, 10404 MiB
2026/09/07 10:31:55.863, 228.65 W, 98 %, 10404 MiB
2026/09/07 10:32:05.872, 229.25 W, 98 %, 10400 MiB
2026/09/07 10:32:15.879, 229.56 W, 98 %, 10404 MiB
2026/09/07 10:32:25.885, 229.26 W, 99 %, 10404 MiB
2026/09/07 10:32:35.901, 260.03 W, 99 %, 10404 MiB
2026/09/07 10:32:45.915, 228.57 W, 99 %, 10401 MiB
2026/09/07 10:32:55.919, 228.91 W, 99 %, 10405 MiB
2026/09/07 10:33:05.933, 229.01 W, 98 %, 10400 MiB
2026/09/07 10:33:15.948, 228.87 W, 98 %, 10404 MiB
2026/09/07 10:33:25.957, 229.48 W, 99 %, 10425 MiB
2026/09/07 10:33:35.964, 228.74 W, 99 %, 10412 MiB
2026/09/07 10:33:45.975, 229.34 W, 98 %, 10408 MiB
2026/09/07 10:33:55.982, 229.00 W, 98 %, 10412 MiB
2026/09/07 10:34:05.993, 229.24 W, 99 %, 10404 MiB
2026/09/07 10:34:16.001, 229.02 W, 99 %, 10404 MiB
2026/09/07 10:34:26.017, 229.63 W, 99 %, 10401 MiB
2026/09/07 10:34:36.017, 230.08 W, 99 %, 10404 MiB
2026/09/07 10:34:46.024, 229.66 W, 99 %, 10404 MiB
2026/09/07 10:34:56.039, 229.26 W, 99 %, 10404 MiB
2026/09/07 10:35:06.046, 229.38 W, 98 %, 10404 MiB
2026/09/07 10:35:16.056, 229.68 W, 99 %, 10420 MiB
2026/09/07 10:35:26.071, 229.78 W, 99 %, 10425 MiB
2026/09/07 10:35:36.079, 229.74 W, 98 %, 10404 MiB
2026/09/07 10:35:46.085, 43.83 W, 11 %, 10404 MiB
2026/09/07 10:35:56.091, 261.67 W, 99 %, 10404 MiB
2026/09/07 10:36:06.107, 47.40 W, 11 %, 10405 MiB
2026/09/07 10:36:16.114, 225.49 W, 99 %, 10404 MiB
2026/09/07 10:36:26.121, 227.52 W, 98 %, 10404 MiB
2026/09/07 10:36:36.136, 228.21 W, 99 %, 10404 MiB
2026/09/07 10:36:46.148, 227.87 W, 99 %, 10404 MiB
2026/09/07 10:36:56.156, 228.74 W, 99 %, 10404 MiB
2026/09/07 10:37:06.162, 228.85 W, 98 %, 10404 MiB
2026/09/07 10:37:16.172, 229.49 W, 99 %, 10404 MiB
2026/09/07 10:37:26.176, 228.84 W, 99 %, 10409 MiB
2026/09/07 10:37:36.181, 229.23 W, 98 %, 10405 MiB
2026/09/07 10:37:46.184, 229.02 W, 98 %, 10404 MiB
2026/09/07 10:37:56.188, 229.61 W, 99 %, 10404 MiB
2026/09/07 10:38:06.198, 229.83 W, 98 %, 10404 MiB
2026/09/07 10:38:16.213, 230.08 W, 98 %, 10404 MiB
2026/09/07 10:38:26.228, 229.88 W, 99 %, 10404 MiB
2026/09/07 10:38:36.238, 229.48 W, 98 %, 10405 MiB
2026/09/07 10:38:46.245, 229.21 W, 98 %, 10404 MiB
2026/09/07 10:38:56.254, 229.64 W, 98 %, 10404 MiB
2026/09/07 10:39:06.260, 228.99 W, 98 %, 10404 MiB
2026/09/07 10:39:16.267, 258.88 W, 99 %, 10404 MiB
2026/09/07 10:39:26.268, 47.17 W, 11 %, 848 MiB
2026/09/07 10:39:36.279, 29.12 W, 26 %, 847 MiB
2026/09/07 10:39:46.290, 61.60 W, 5 %, 1136 MiB
2026/09/07 10:39:56.304, 244.79 W, 97 %, 9150 MiB
2026/09/07 10:40:06.307, 246.68 W, 96 %, 9150 MiB
2026/09/07 10:40:16.314, 246.61 W, 93 %, 9150 MiB
2026/09/07 10:40:26.330, 246.84 W, 91 %, 9150 MiB
2026/09/07 10:40:36.336, 248.44 W, 96 %, 9150 MiB
2026/09/07 10:40:46.351, 248.94 W, 96 %, 9150 MiB
2026/09/07 10:40:56.359, 78.04 W, 6 %, 9150 MiB
2026/09/07 10:41:06.373, 247.50 W, 97 %, 9151 MiB
2026/09/07 10:41:16.374, 246.77 W, 93 %, 9150 MiB
2026/09/07 10:41:26.382, 135.57 W, 6 %, 9154 MiB
2026/09/07 10:41:36.397, 30.06 W, 100 %, 9154 MiB
2026/09/07 10:41:46.407, 246.10 W, 95 %, 9154 MiB
2026/09/07 10:41:56.416, 246.28 W, 95 %, 9154 MiB
2026/09/07 10:42:06.432, 247.93 W, 96 %, 9154 MiB
2026/09/07 10:42:16.433, 214.07 W, 6 %, 9154 MiB
2026/09/07 10:42:26.437, 196.77 W, 7 %, 9154 MiB
2026/09/07 10:42:36.446, 248.95 W, 97 %, 9154 MiB
2026/09/07 10:42:46.458, 249.13 W, 97 %, 9154 MiB
2026/09/07 10:42:56.468, 248.60 W, 95 %, 9154 MiB
2026/09/07 10:43:06.484, 248.14 W, 95 %, 9154 MiB
2026/09/07 10:43:16.491, 29.07 W, 26 %, 9154 MiB
2026/09/07 10:43:26.494, 246.76 W, 97 %, 9154 MiB
2026/09/07 10:43:36.496, 244.52 W, 93 %, 9155 MiB
2026/09/07 10:43:46.497, 301.00 W, 97 %, 9154 MiB
2026/09/07 10:43:56.512, 248.37 W, 96 %, 9154 MiB
2026/09/07 10:44:06.523, 245.12 W, 93 %, 9154 MiB
2026/09/07 10:44:16.526, 245.67 W, 93 %, 9154 MiB
2026/09/07 10:44:26.533, 245.56 W, 93 %, 9155 MiB
2026/09/07 10:44:36.543, 246.31 W, 96 %, 9173 MiB
2026/09/07 10:44:46.549, 244.15 W, 96 %, 9163 MiB
2026/09/07 10:44:56.552, 297.94 W, 64 %, 9154 MiB
2026/09/07 10:45:06.559, 29.58 W, 28 %, 9154 MiB
2026/09/07 10:45:16.568, 244.19 W, 92 %, 9154 MiB
2026/09/07 10:45:26.581, 245.01 W, 94 %, 9154 MiB
2026/09/07 10:45:36.583, 246.66 W, 94 %, 9154 MiB
